kod_kreskowy,nazwa_produktu,cena,kod_produktu
4061947086751,REFILL PADA4 90G ZENTANGLE SEYES,"14,4",2467498
4061947086775,REFILL PADA4 SEYES OCTOPUS ZENART,"14,4",246749801
4003273007871,LOGBOOK A6 40 SHEETS,14,1010141
4003273662308,DRIVERS LOGBOOK A6 LANDSCAPE 40 SHEETS,"22,8",1010143
4003273007888,LOGBOOK A5 16 SHEETS,"28,2",1010150
4003273007895,HOUSEKEEPING BOOK 20.5X26CM 16SH,"46,8",1010160
4003273007901,HOUSEKEEP. BOOKA5 40SH CARDB.COVER,"23,3",1010161
4003273247321,FLAT BAR FILE FACT! RECY.WHITE,"205,5",102010400
4003273247338,FLAT BAR FILE FACT! RECY.YELLOW,"205,5",102010410
4003273602793,FLAT BAR FILE FACT! RECY.CHAMOIS,"205,5",102010411
4003273247345,FLAT BAR FILE FACT! RECY.RED,"205,5",102010420
4003273247352,FLAT BAR FILE FACT! RECY.BLUE,"205,5",102010430
4003273247369,FLAT BAR FILE FACT! RECY.DARK BLUE,"205,5",102010438
4003273247376,FLAT BAR FILE FACT! RECY.ORANGE,"205,5",102010440
4003273247383,FLAT BAR FILE FACT! RECY.GREEN,"205,5",102010450
4003273247390,FLAT BAR FILE FACT! RECY.TURQUOISE,"205,5",102010456
4003273247406,FLAT BAR FILE FACT! RECY.DARK GREEN,"205,5",102010459
4003273247413,FLAT BAR FILE FACT! RECY.PINK,"205,5",102010460
4003273247420,FLAT BAR FILE FACT! RECY.BLUE/VIOL.,"205,5",102010468
4003273247437,FLAT BAR FILE FACT! RECY.BROWN,"205,5",102010470
4003273247444,FLAT BAR FILE FACT! RECY.GREY,"205,5",102010480
4003273247451,FLAT BAR FILE FACT! RECY.BLACK,"205,5",102010490
4003273188785,SPRING FOLDER FACT!PLUS WHITE,"646,8",102010500
4003273123335,SPRING FOLDER FACT!PLUS YELLOW,"646,8",102010510
4003273123342,SPRING FOLDER FACT!PLUS RED,"646,8",102010520
4003273576681,SPRING FOLDER FACT!PLUS ROSE,"646,8",102010522
4003273123359,SPRING FOLDER FACT!PLUS BLUE,"646,8",102010530
4003273591493,SPRING FOLDER FACT!PLUS LIGHT BLUE,"646,8",102010532
4003273188815,SPRING FOLDER FACT!PLUS ORANGE,"646,8",102010540
