kod_kreskowy;nazwa_produktu;cena;kod_produktu;ilość;dostępność
8710000000000;2 Tabliczki na lince, MDF, kpl.;7,65;461.458 040;0;
;Adresownik 13,5x13,5, Spring;31,95;10-64656;0;
4000000000000;Adresownik 5,6 x 7,8 cm;15,48;10-64509 95;0;
4000000000000;Adresownik 7,4 x 10,5 cm;15,3;10-64510 95;0;
;Adresownik 8,7 x 15,3 Flora;26,02;10-64660;0;
4000000000000;Adresownik 8,7 x 15,5 cm;25,8;10-64516 95;0;
;Adresownik 9,5 x 12,8 cm Kompagnon;23,3;10-64546 02;0;
4000000000000;Adresownik A5 Kompagnon;33,65;10-64548;0;WYCOFANY
;Adresownik A6, Good Luck;12,24;10-64137 93;0;
4000000000000;Adresownik A7 Kompagnon;18,02;10-64549;0;
;Adresownik Summertime 10 x 14 cm;12,33;10-64137 81;0;
4000000000000;Adresownik Summertime 10x14 cm;18,9;10-64669 31;0;WYCOFANY
;Adresownik Summertime A6;13,05;10-64137 11;0;
;Adresownik Uni Rainbow 13 x 13 cm;20,11;10-64582 72;0;
4000000000000;Adresownik Uni Rainbow A5;24,85;10-64592 82;2;WYCOFANY
4000000000000;Adresownik ze spiralą i gumką 10 x 17 cm;25,8;10-64531 95;5;
4000000000000;Adresownik ze spiralą i gumką 8,5 x 12,5 cm;16;10-64530 95;3;
4010000000000;Agrafki 22 mm, srebrne;4,5;21-23827 17;0;WYCOFANY
4010000000000;Agrafki 22mm, złote;3,15;21-23827 68;0;WYCOFANY
4010000000000;Agrafki 28 mm, srebrne;5;21-23837 13;0;
;Akasmitka elastyczna, bordowa;5,38;51500/340/9;0;
;Akasmitka elastyczna, czerwona;5,38;51500/315/9;0;
;Akasmitka elastyczna, granatowa;5,38;51500/590/9;0;
4010000000000;Album do naklejek, Delfin;12,6;15419;6;
4010000000000;Album do naklejek, Delfiny;8,2;6687;0;WYCOFANY
4010000000000;Album do naklejek, Dino;12,6;15422;3;
4010000000000;Album do naklejek, Dziewczynka;12,6;15418;5;
4010000000000;Album do naklejek, Formuła;8,2;6688;0;WYCOFANY
4010000000000;Album do naklejek, Jednorożce;12,6;15425;5;
4010000000000;Album do naklejek, Konie;8,2;6689;0;WYCOFANY
4010000000000;Album do naklejek, Księżniczka;12,6;15423;7;
4010000000000;Album do naklejek, Piraci;12,6;15417;11;
4010000000000;Album do naklejek, Pszczółki;12,6;15420;4;
4010000000000;Album do naklejek, Stonoga;12,6;15424;12;
4010000000000;Album do naklejek, Tygrys;8,2;6684;0;WYCOFANY
4010000000000;Album do scrapbookingu, bordowy/czarny;51,03;20-61869 28;0;
4010000000000;Album do scrapbookingu, bordowy/krem;56,25;20-61868 28;0;
4010000000000;Album do scrapbookingu, czarny/czarny;82,4;20-61869 89;0;
4010000000000;Album do scrapbookingu, czarny/krem;68,4;20-61868 89;0;WYCOFANY
4010000000000;Album do scrapbookingu, krem/czarny;62,1;20-61869 10;0;
4010000000000;Album do scrapbookingu, krem/krem;90,7;20-61868 10;0;
4010000000000;Album do scrapbookingu, niebieski/czarny;51,03;20-61869 35;1;WYCOFANY
4010000000000;Album do scrapbookingu, niebieski/krem;56,25;20-61868 35;0;
4010000000000;Albumy do naklejek 8 szt. mix;100,8;15426;0;
4010000000000;Alfabet biały;3,5;15557-11H;16;
4010000000000;Alfabet-1;3,5;4130-11H;23;
4010000000000;Alfabet-10;3,5;4167-11H;35;
4010000000000;Alfabet-11;3,5;4169-11H;63;
4010000000000;Alfabet-12;3,5;4183-11H;20;
4010000000000;Alfabet-13;3,5;4192-11H;21;
4010000000000;Alfabet-14;3,5;4194-11H;27;
4010000000000;Alfabet-2;3,5;4133-11H;10;WYCOFANY
4010000000000;Alfabet-3;3,5;4135-11H;38;
4010000000000;Alfabet-4;3,5;4145-11H;8;WYCOFANY
4010000000000;Alfabet-5;2,45;4147-11H;0;
4010000000000;Alfabet-6;3,5;4152-11H;10;
4010000000000;Alfabet-7;3,5;4154-11H;36;
4010000000000;Alfabet-8;3,5;4158-11H;38;
4010000000000;Alfabet-9;3,5;4163-11H;35;
